Alpha,Iterations2D,Iterations3D
1.8,1854,1752
1.801919191919192,1836,1735
1.8038383838383838,1818,1719
1.805757575757576,1800,1702
1.8076767676767678,1782,1685
1.8095959595959596,1764,1669
1.8115151515151515,1746,1652
1.8134343434343434,1727,1636
1.8153535353535355,1709,1619
1.8172727272727274,1691,1602
1.8191919191919192,1673,1586
1.8211111111111111,1655,1569
1.823030303030303,1637,1552
1.8249494949494949,1619,1536
1.826868686868687,1601,1519
1.8287878787878789,1582,1503
1.8307070707070707,1564,1486
1.8326262626262626,1546,1469
1.8345454545454545,1528,1453
1.8364646464646466,1510,1436
1.8383838383838385,1492,1419
1.8403030303030303,1474,1403
1.8422222222222222,1455,1386
1.844141414141414,1437,1369
1.8460606060606062,1419,1353
1.847979797979798,1401,1336
1.84989898989899,1382,1319
1.8518181818181818,1364,1303
1.8537373737373737,1346,1286
1.8556565656565658,1328,1269
1.8575757575757577,1309,1252
1.8594949494949495,1291,1236
1.8614141414141414,1272,1219
1.8633333333333333,1254,1202
1.8652525252525254,1236,1185
1.8671717171717173,1217,1168
1.8690909090909091,1199,1151
1.871010101010101,1180,1134
1.8729292929292929,1161,1117
1.874848484848485,1143,1100
1.8767676767676769,1124,1083
1.8786868686868687,1105,1066
1.8806060606060606,1086,1049
1.8825252525252525,1068,1032
1.8844444444444444,1049,1015
1.8863636363636365,1030,997
1.8882828282828283,1011,980
1.8902020202020202,991,962
1.892121212121212,972,945
1.894040404040404,953,927
1.895959595959596,933,910
1.897878787878788,914,892
1.8997979797979798,894,874
1.9017171717171717,874,856
1.9036363636363636,855,838
1.9055555555555557,834,820
1.9074747474747475,814,801
1.9093939393939394,794,783
1.9113131313131313,773,764
1.9132323232323232,752,745
1.9151515151515153,731,726
1.9170707070707071,709,706
1.918989898989899,687,686
1.920909090909091,665,666
1.9228282828282828,642,645
1.9247474747474747,618,624
1.9266666666666667,594,602
1.9285858585858586,569,579
1.9305050505050505,542,555
1.9324242424242424,514,529
1.9343434343434343,483,501
1.9362626262626264,448,469
1.9381818181818182,399,424
1.94010101010101,296,415
1.942020202020202,346,419
1.9439393939393939,346,429
1.945858585858586,350,441
1.9477777777777778,394,452
1.9496969696969697,414,470
1.9516161616161616,409,489
1.9535353535353535,446,512
1.9554545454545456,444,534
1.9573737373737374,397,561
1.9592929292929293,492,586
1.9612121212121212,492,587
1.963131313131313,494,589
1.9650505050505052,511,651
1.966969696969697,546,687
1.968888888888889,602,692
1.9708080808080808,650,745
1.9727272727272727,646,791
1.9746464646464648,717,889
1.9765656565656566,761,901
1.9784848484848485,761,989
1.9804040404040404,852,995
1.9823232323232323,924,1197
1.9842424242424244,1034,1200
1.9861616161616162,1183,1500
1.9880808080808081,1356,1737
1.99,1701,1683
